type,director,cast,country,release_year,rating,duration,listed_in,duration_value,duration_type
movie,kirsten johnson,unknown,united states,2020,pg-13,90 min,documentaries,90.0,min
tv show,unknown,"ama qamata, khosi ngema, gail mabalane, thabang molaba, dillon windvogel, natasha thahane, arno greeff, xolile tshabalala, getmore sithole, cindy mahlangu, ryle de morny, greteli fincham, sello maake ka-ncube, odwa gwanya, mekaila mathys, sandi schultz, duane williams, shamilla miller, patrick mofokeng",south africa,2021,tv-ma,2 Seasons,"international tv shows, tv dramas, tv mysteries",2.0,season
tv show,julien leclercq,"sami bouajila, tracy gotoas, samuel jouy, nabiha akkari, sofia lesaffre, salim kechiouche, noureddine farihi, geert van rampelberg, bakary diombera",unknown,2021,tv-ma,1 Season,"crime tv shows, international tv shows, tv action & adventure",1.0,season
tv show,unknown,unknown,unknown,2021,tv-ma,1 Season,"docuseries, reality tv",1.0,season
tv show,unknown,"mayur more, jitendra kumar, ranjan raj, alam khan, ahsaas channa, revathi pillai, urvi singh, arun kumar",india,2021,tv-ma,2 Seasons,"international tv shows, romantic tv shows, tv comedies",2.0,season
tv show,mike flanagan,"kate siegel, zach gilford, hamish linklater, henry thomas, kristin lehman, samantha sloyan, igby rigney, rahul kohli, annarah cymone, annabeth gish, alex essoe, rahul abburi, matt biedel, michael trucco, crystal balint, louis oliver",unknown,2021,tv-ma,1 Season,"tv dramas, tv horror, tv mysteries",1.0,season
movie,"robert cullen, josé luis ucha","vanessa hudgens, kimiko glenn, james marsden, sofia carson, liza koshy, ken jeong, elizabeth perkins, jane krakowski, michael mckean, phil lamarr",unknown,2021,pg,91 min,children & family movies,91.0,min
movie,haile gerima,"kofi ghanaba, oyafunmike ogunlano, alexandra duah, nick medley, mutabaruka, afemo omilami, reggie carter, mzuri","united states, ghana, burkina faso, united kingdom, germany, ethiopia",1993,tv-ma,125 min,"dramas, independent movies, international movies",125.0,min
tv show,andy devonshire,"mel giedroyc, sue perkins, mary berry, paul hollywood",united kingdom,2021,tv-14,9 Seasons,"british tv shows, reality tv",9.0,season
movie,theodore melfi,"melissa mccarthy, chris o'dowd, kevin kline, timothy olyphant, daveed diggs, skyler gisondo, laura harrier, rosalind chao, kimberly quinn, loretta devine, ravi kapoor",united states,2021,pg-13,104 min,"comedies, dramas",104.0,min
tv show,unknown,unknown,unknown,2021,tv-ma,1 Season,"crime tv shows, docuseries, international tv shows",1.0,season
tv show,kongkiat komesiri,"sukollawat kanarot, sushar manaying, pavarit mongkolpisit, sahajak boonthanakit, suthipongse thatphithakkul, bhasaworn bawronkirati, daweerit chullasapya, waratthaya wongchayaporn, kittiphoom wongpentak, abhicha thanachanun, nophand boonyai, kittipong khamsat, arisara wongchalee, jaytiya naiwattanakul, pantipa arunwattanachai, panupan jantanawong, kungtap saelim, phumphat chartsuriyakiat, issara veranitinunt, keerati sivakuae, panjai sirisuwan, supranee charoenpol, suda chuenban, visaka banhansupavat, pitchatorn santinatornkul",unknown,2021,tv-ma,1 Season,"crime tv shows, international tv shows, tv action & adventure",1.0,season
